"","BU207","BU208","BU211","BU301","BU304","CR108","CR109","CR125","CR132","EH152","EH153","ES171","ES174","ES189","ES246","ES355","ES409","ES440","ES618","ES828","GR135","GR141","IT113","IT148","IT151","IT152","IT164","IT165","IT167","IT168","IT317","IT321","PO145","PO241","PO254","SE127","SE129","SE130","SE134","SL143"
"OTU1213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00300174226998887,0,0,0,0,0,0,0,0,0,0
"OTU1214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000786132620573091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00114986584898429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU122",0,0,0,0,0,0.000765519831296762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1222",0,0,0,0,0,0,0,0,0,0,0,0,0.00190289751103437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000269822775495186,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00364298724954463,0,0,0,0,0,0,0,0,0,0,0
"OTU1227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00329567413132906,0,0,0,0,0,0,0
"OTU1228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000355675476789109,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416908773968623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1231",0,0,0,0,0,0.00150937400699078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
